Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
AM-GEO-22-A ,Georgetown Asphalt Plant ,3,3,58-28,40,-,-,-,-,densa,HMA,149-171,-,-,-,-,"20,19","4,21","21,20","45,61",380,56,360,796,1227,N/A,N/A,1227,363,N/A,0,363,https://asphaltepd.org/epd/d/bBULOG/
AM-GEO-23 ,Georgetown Asphalt Plant ,3,3,58-28,40,-,-,-,-,densa,HMA,149-171,-,-,-,-,"20,19","4,54","21,20","45,93",380,60,360,801,1227,N/A,N/A,1227,363,N/A,0,363,https://asphaltepd.org/epd/d/pMU9w9/
AM-GEO-24 ,Georgetown Asphalt Plant ,4,4,76-22,10,-,-,-,-,densa,HMA,149-171,-,-,-,-,"28,44","3,02","21,20","52,65",522,40,360,922,1451,N/A,N/A,1451,91,N/A,0,91,https://asphaltepd.org/epd/d/9JUmkw/
AM-GEO-26 ,Georgetown Asphalt Plant ,5,5,76-22,10,-,-,-,-,densa,HMA,149-171,-,-,-,-,"34,62","3,70","21,20","59,52",638,49,360,1047,1785,N/A,N/A,1785,91,N/A,0,91,https://asphaltepd.org/epd/d/YqUm8a/
AM-GEO-27 ,Georgetown Asphalt Plant ,4,4,58-28,18,-,-,-,-,densa,HMA,149-171,-,-,4,-,"23,34","3,28","21,20","47,82",440,44,360,844,1413,N/A,N/A,1413,200,N/A,0,200,https://asphaltepd.org/epd/d/xPU59p/
AM-GEO-28 ,Georgetown Asphalt Plant ,3,3,58-28,9,-,-,-,-,densa,HMA,149-171,-,-,4,-,"21,15","2,83","21,20","45,17",398,38,360,796,1265,N/A,N/A,1265,118,N/A,0,118,https://asphaltepd.org/epd/d/85UrA7/
AM-GEO-29 ,Georgetown Asphalt Plant ,3,3,58-28,27,-,-,-,-,densa,HMA,149-171,-,-,-,-,"18,05","3,57","21,20","42,81",339,47,360,747,1079,N/A,N/A,1079,245,N/A,0,245,https://asphaltepd.org/epd/d/BZUybG/
AM-GEO-31 ,Georgetown Asphalt Plant ,6,6,64-22,-,-,-,-,-,densa,HMA,149-171,-,-,-,-,"37,75","2,31","21,20","61,26",723,31,360,1113,2343,N/A,N/A,2343,0,N/A,0,0,https://asphaltepd.org/epd/d/25UbJ7/
AM-GEO-32 ,Georgetown Asphalt Plant ,6,6,64-22,-,-,-,-,-,densa,HMA,149-171,-,-,-,-,"37,75","3,37","21,20","62,33",723,45,360,1127,2343,N/A,N/A,2343,0,N/A,0,0,https://asphaltepd.org/epd/d/j5UQxe/
