Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
211037 Ty B 64-22 (2) ,Port of SA ,Unmodified,3,64-22,24,-,-,-,-,densa,HMA,143-160,-,-,-,-,"19,79","4,39","19,76","43,93",373,58,227,658,1190,N/A,N/A,1190,220,N/A,0,220,https://asphaltepd.org/epd/d/6QU66E/
211093 Ty D 70-22 (1) ,Port of SA ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-22,10,-,-,-,-,densa,HMA,149-166,-,-,-,-,"35,30","5,96","19,76","61,02",650,79,227,956,1823,N/A,N/A,1823,95,N/A,0,95,https://asphaltepd.org/epd/d/j5UQQJ/
211097 Ty C 70-22 (2) ,Port of SA ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-22,10,-,-,-,-,densa,HMA,149-166,-,-,-,-,"33,24","5,30","19,76","58,30",612,70,227,909,1711,N/A,N/A,1711,95,N/A,0,95,https://asphaltepd.org/epd/d/25Ubbe/
213005 Ty B 64-22 (2) ,Port of SA ,Unmodified,3,64-22,19,-,-,-,-,densa,HMA,143-160,-,-,-,-,"20,98","4,66","19,76","45,40",397,62,227,685,1265,N/A,N/A,1265,175,N/A,0,175,https://asphaltepd.org/epd/d/BZUyy2/
213016 Ty D 64-22 (2) ,Port of SA ,Unmodified,4,64-22,19,-,-,-,-,densa,HMA,143-160,-,-,-,-,"26,13","4,76","19,76","50,64",496,63,227,786,1599,N/A,N/A,1599,174,N/A,0,174,https://asphaltepd.org/epd/d/85UrrA/
213050 Ty D 70-22 (2) ,Port of SA ,SBS modified - 3.5% styrene-butadiene-styrene,4,70-22,19,-,-,-,-,densa,HMA,149-166,-,-,-,-,"31,09","4,76","19,76","55,60",571,63,227,861,1599,N/A,N/A,1599,174,N/A,0,174,https://asphaltepd.org/epd/d/xPU55J/
216002 SP-D 70-22 Sub (2) ,Port of SA ,Unmodified,5,64-22,19,-,-,-,-,densa,HMA,143-160,-,-,-,-,"27,27","4,85","19,76","51,88",519,64,227,810,1674,N/A,N/A,1674,173,N/A,0,173,https://asphaltepd.org/epd/d/YqUmmE/
225015 Ty D 64-22 (2) ,Port of SA ,Unmodified,5,64-22,-,-,-,-,-,densa,HMA,143-160,-,-,-,-,"31,47","5,68","19,76","56,91",601,75,227,903,1934,N/A,N/A,1934,0,N/A,0,0,https://asphaltepd.org/epd/d/pMU99e/
225050 Ty D 70-22 (2) ,Port of SA ,SBS modified - 3.5% styrene-butadiene-styrene,5,70-22,-,-,-,-,-,densa,HMA,149-166,-,-,-,-,"37,47","5,68","19,76","62,91",691,75,227,994,1934,N/A,N/A,1934,0,N/A,0,0,https://asphaltepd.org/epd/d/9JUmmj/
211037 Ty B 64-22 (3) ,Seward ,Unmodified,4,64-22,16,-,-,-,-,densa,HMA,143-160,-,-,-,-,"21,58","1,33","23,17","46,09",408,18,70,496,1302,N/A,N/A,1302,149,N/A,0,149,https://asphaltepd.org/epd/d/GZUqpP/
