Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
81R-12.5SP-117-25 ,Reeves Garden City ,Unmodified + 1 terminal additive(s)*,4,64-22,35,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,138-160,-,-,-,-,"36,15","7,09","23,05","66,29",527,94,395,1016,1525,N/A,N/A,1525,318,N/A,0,318,https://asphaltepd.org/epd/d/ZXU95P/
81R-12.5SP-135-25 ,Reeves Garden City ,Unmodified + 1 terminal additive(s)*,4,64-22,35,-,-,-,-,densa,HMA,138-160,-,-,-,-,"24,82","5,40","23,05","53,27",470,72,395,937,1525,N/A,N/A,1525,318,N/A,0,318,https://asphaltepd.org/epd/d/GZUbO6/
28R-12.5SP-159-7 15% ,Mineola Plant 3 ,Unmodified + 1 terminal additive(s)*,5,67-22,15,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,149-160,-,-,-,-,"45,05","15,07","23,74","83,86",682,200,402,1284,2009,N/A,N/A,2009,136,N/A,0,136,https://asphaltepd.org/epd/d/P5Uk3D/
The Scruggs Co. 28-R12.5SP-227-8 ,Mineola Plant 3 ,Unmodified + 1 terminal additive(s)*,6,67-22,20,-,-,-,-,densa,HMA,152-180,-,-,-,-,"33,55","14,35","23,74","71,65",640,191,402,1233,2083,N/A,N/A,2083,181,N/A,0,181,https://asphaltepd.org/epd/d/QVU6zz/
