Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
OR53D30000 ,Sundial Asphalt Plant ,Unmodified,6,64-22,30,-,-,-,-,densa,HMA,152-157,-,-,-,-,"32,98","1,79","10,00","44,76",627,23,176,826,2046,N/A,N/A,2046,332,N/A,0,332,https://asphaltepd.org/epd/d/V4UPGY/
OR53D30000 ,Sundial Asphalt Plant ,Unmodified,5,64-22,30,-,-,-,-,densa,HMA,151-156,-,-,-,-,"31,84","1,78","10,00","43,62",604,23,176,804,1971,N/A,N/A,1971,330,N/A,0,330,https://asphaltepd.org/epd/d/YqU53g/
OR54D20000 ,Sundial Asphalt Plant ,Unmodified,5,70-22,20,-,-,-,-,densa,HMA,163-169,-,-,-,-,"31,37","2,03","10,00","43,39",596,27,176,798,1934,N/A,N/A,1934,238,N/A,0,238,https://asphaltepd.org/epd/d/74U5GR/
"1/2"" P401 ",110-Portland ,Unmodified,6,70-22,-,-,-,-,-,densa,HMA,149-163,-,-,-,-,"35,47","1,63","18,38","55,48",678,21,320,1020,2194,N/A,N/A,2194,0,N/A,0,0,https://asphaltepd.org/epd/d/P5UyOV/
"L2 1/2"" ",110-Portland ,Unmodified,4,64-22,30,-,-,-,-,densa,HMA,149-163,-,-,-,-,"26,36","1,15","18,38","45,89",500,15,320,836,1622,N/A,N/A,1622,268,N/A,0,268,https://asphaltepd.org/epd/d/LDURrZ/
"L3 1/2"" ",110-Portland ,Unmodified,4,64-22,30,-,-,-,-,densa,HMA,149-163,-,-,-,-,"25,22","1,15","18,38","44,74",478,15,320,813,1547,N/A,N/A,1547,269,N/A,0,269,https://asphaltepd.org/epd/d/aRU7R9/
"L4 1/2"" ",110-Portland ,Unmodified,5,70-22,20,-,-,-,-,densa,HMA,149-163,-,-,-,-,"27,66","3,77","18,38","49,81",526,50,320,896,1700,N/A,N/A,1700,179,N/A,0,179,https://asphaltepd.org/epd/d/QVUGax/
"WMA L3 1/2"" ",110-Portland ,Unmodified,4,64-22,30,-,-,-,-,densa,WMA,149-163,-,-,-,-,"25,22","1,15","18,38","44,74",478,15,320,813,1547,N/A,N/A,1547,269,N/A,0,269,https://asphaltepd.org/epd/d/mYUYax/
"L2 1/2"" ",111-Hillsboro ,Unmodified,4,64-22,30,-,-,-,-,densa,HMA,149-163,-,-,-,-,"27,04","1,56","22,24","50,83",514,21,387,921,1666,N/A,N/A,1666,270,N/A,0,270,https://asphaltepd.org/epd/d/DdUoJ2/
"L3 1/2"" ",111-Hillsboro ,Unmodified,4,64-22,30,-,-,-,-,densa,HMA,149-163,-,-,-,-,"25,90","1,55","22,24","49,69",492,21,387,899,1592,N/A,N/A,1592,269,N/A,0,269,https://asphaltepd.org/epd/d/V4UpGM/
MOD Blend ,111-Hillsboro ,Unmodified,6,64-22,-,-,-,-,-,densa,HMA,149-163,-,-,-,-,"35,47","2,20","22,24","59,91",678,29,387,1095,2194,N/A,N/A,2194,0,N/A,0,0,https://asphaltepd.org/epd/d/o8Up3A/
MOD C ,111-Hillsboro ,Unmodified,4,64-22,30,-,-,-,-,densa,HMA,149-163,-,-,-,-,"27,04","1,56","22,24","50,84",514,21,387,921,1666,N/A,N/A,1666,269,N/A,0,269,https://asphaltepd.org/epd/d/REUk87/
"WMA L3 1/2"" ",111-Hillsboro ,Unmodified,4,64-22,30,-,-,-,-,densa,WMA,149-163,-,-,-,-,"25,90","1,55","22,24","49,69",492,21,387,899,1592,N/A,N/A,1592,269,N/A,0,269,https://asphaltepd.org/epd/d/zwUkag/
"L2 1/2"" ",112-Foster Rd ,Unmodified,4,64-22,30,-,-,-,-,densa,HMA,149-163,-,-,-,-,"26,24","2,77","21,54","50,54",498,37,378,912,1614,N/A,N/A,1614,271,N/A,0,271,https://asphaltepd.org/epd/d/xPUdmR/
