Mix,Usinas,Tipo Binder,Binder,P.G,RAP,Tipo Binder Additive,Binder Additive,Tipo Mix Additive,Mix Additive,Granulometria,Processo Produtivo,Temperaturas,Teor de cal,Cimento Portland,Recycled Asphalt Shingles,Crusher fines,CO2 - Material,CO2 - Transporte,CO2 - Produção,CO2 - Total,NRPR Fuel - Material,NRPR Fuel - Transporte,NRPR Fuel - Produção,NRPR Fuel - Total,NRPR Mat - Material,NRPR Mat - Transporte,NRPR Mat - Produção,NRPR Mat - Total,SM - Material,SM - Transporte,SM - Produção,SM - Total,URLS
1153 ,Lockwood AC ,5,5,64-22,15,-,-,Antistrip Agents - Hydrated lime,1,densa,HMA,148-153,-,-,-,-,"48,35","2,44","28,99","79,78",701,32,338,1071,2020,N/A,N/A,2020,136,N/A,0,136,https://asphaltepd.org/epd/d/J5Uj9q/
1154 ,Lockwood AC ,5,5,64-22,15,-,-,Antistrip Agents - Hydrated lime,1,densa,HMA,148-153,-,-,-,-,"47,27","2,37","28,99","78,63",680,31,338,1049,1949,N/A,N/A,1949,136,N/A,0,136,https://asphaltepd.org/epd/d/GZUGge/
1199 ,Lockwood AC ,4,4,64-28,25,-,-,Antistrip Agents - Hydrated lime,1,densa,HMA,151-162,-,-,-,-,"43,83","0,57","28,99","73,39",628,8,338,973,1577,N/A,N/A,1577,227,N/A,0,227,https://asphaltepd.org/epd/d/o8UKAM/
1500 ,Lockwood AC ,4,4,64-22,30,-,-,Antistrip Agents - Hydrated lime,< 1%,densa,HMA,154-177,-,-,-,-,"37,45","1,86","28,99","68,30",534,25,338,897,1525,N/A,N/A,1525,272,N/A,0,272,https://asphaltepd.org/epd/d/QVUJdB/
2039 ,Lockwood AC ,5,5,64-28,15,-,-,Antistrip Agents - Hydrated lime,1,densa,HMA,154-177,-,-,-,-,"50,48","0,66","28,99","80,13",725,9,338,1072,1823,N/A,N/A,1823,136,N/A,0,136,https://asphaltepd.org/epd/d/5mUDjg/
2040 ,Lockwood AC ,4,4,64-28,15,-,-,Antistrip Agents - Hydrated lime,1,densa,HMA,154-177,-,-,-,-,"44,30","0,62","28,99","73,90",610,8,338,956,1488,N/A,N/A,1488,136,N/A,0,136,https://asphaltepd.org/epd/d/LDUdKJ/
2121 ,Lockwood AC ,5,5,64-28,15,-,-,Antistrip Agents - Hydrated lime,1,densa,HMA,154-177,-,-,-,-,"50,24","0,68","28,99","79,91",705,9,338,1052,1748,N/A,N/A,1748,136,N/A,0,136,https://asphaltepd.org/epd/d/mYUrx7/
2233 ,Lockwood AC ,7,7,64-28,-,-,-,Antistrip Agents - Hydrated lime,2,densa,HMA,154-177,-,-,-,-,"65,96","0,84","28,99","95,79",965,11,338,1314,2455,N/A,N/A,2455,0,N/A,0,0,https://asphaltepd.org/epd/d/QVUJ2Q/
2954 ,Lockwood AC ,5,5,64-28,15,-,-,Antistrip Agents - Hydrated lime,1,densa,HMA,154-177,-,-,-,-,"48,86","0,67","28,99","78,53",679,9,338,1026,1674,N/A,N/A,1674,136,N/A,0,136,https://asphaltepd.org/epd/d/P5Ug7m/
